Date,WRU1
10/06/2011,5525.00
15/06/2011,5525.00
17/06/2011,5725.00
22/06/2011,5725.00
24/06/2011,5675.00
29/06/2011,5675.00
01/07/2011,5525.00
06/07/2011,5525.00
08/07/2011,5250.00
13/07/2011,5250.00
15/07/2011,5075.00
20/07/2011,5075.00
22/07/2011,4875.00
27/07/2011,4875.00
29/07/2011,4500.00
03/08/2011,4500.00
05/08/2011,4425.00
10/08/2011,4425.00
12/08/2011,4525.00
17/08/2011,4525.00
19/08/2011,4575.00
24/08/2011,4575.00
26/08/2011,4750.00
31/08/2011,4750.00
02/09/2011,5200.00
07/09/2011,5200.00
09/09/2011,5200.00
14/09/2011,5200.00
16/09/2011,5225.00
21/09/2011,5225.00
22/09/2011,5225.00
23/09/2011,5200.00
28/09/2011,5200.00
30/09/2011,5150.00
07/10/2011,5125.00
14/10/2011,5075.00
21/10/2011,5050.00
28/10/2011,5050.00
07/11/2011,5100.00
11/11/2011,5175.00
18/11/2011,5175.00
25/11/2011,5175.00
02/12/2011,5175.00
09/12/2011,5200.00
16/12/2011,5250.00
23/12/2011,5325.00
13/01/2012,5450.00
20/01/2012,5650.00
27/01/2012,5850.00
03/02/2012,5950.00
10/02/2012,6025.00
17/02/2012,6125.00
22/02/2012,6125.00
02/03/2012,6175.00
12/03/2012,6225.00
20/03/2012,6250.00
23/03/2012,6250.00
30/03/2012,6200.00
06/04/2012,6175.00
17/04/2012,6150.00
27/04/2012,6150.00
04/05/2012,6150.00
11/05/2012,6150.00
18/05/2012,6150.00
28/05/2012,6150.00
01/06/2012,6150.00
11/06/2012,6275.00
15/06/2012,6375.00
22/06/2012,6450.00
29/06/2012,6575.00
06/07/2012,7150.00
13/07/2012,7600.00
20/07/2012,7650.00
27/07/2012,7750.00
03/08/2012,8375.00
10/08/2012,7825.00
17/08/2012,7850.00
24/08/2012,7875.00
31/08/2012,7875.00
07/09/2012,7900.00
14/09/2012,8050.00
21/09/2012,8350.00
28/09/2012,9075.00
05/10/2012,9275.00
12/10/2012,9300.00
19/10/2012,9350.00
26/10/2012,9450.00
02/11/2012,9450.00
09/11/2012,9550.00
16/11/2012,9750.00
23/11/2012,9900.00
03/12/2012,10150.00
07/12/2012,10325.00
14/12/2012,10550.00
21/12/2012,10850.00
11/01/2013,11325.00
18/01/2013,11450.00
25/01/2013,11625.00
01/02/2013,11700.00
08/02/2013,11675.00
18/02/2013,11500.00
22/02/2013,11325.00
01/03/2013,11075.00
08/03/2013,10875.00
15/03/2013,10750.00
22/03/2013,10550.00
29/03/2013,10350.00
05/04/2013,10150.00
12/04/2013,9825.00
19/04/2013,9575.00
13/05/2013,8975.00
17/05/2013,8775.00
24/05/2013,8675.00
31/05/2013,8700.00
07/06/2013,8725.00
17/06/2013,8725.00
24/06/2013,8725.00
28/06/2013,7200.00
05/07/2013,6600.00
12/07/2013,6100.00
19/07/2013,5975.00
26/07/2013,5925.00
02/08/2013,5900.00
16/08/2013,5970.00
23/08/2013,5975.00
30/08/2013,5925.00
06/09/2013,5775.00
13/09/2013,5725.00
27/09/2013,5750.00
04/10/2013,5800.00
11/10/2013,5850.00
18/10/2013,5950.00
25/10/2013,6125.00
01/11/2013,6225.00
15/11/2013,6550.00
22/11/2013,6550.00
29/11/2013,6750.00
06/12/2013,6875.00
16/12/2013,6975.00
20/12/2013,7050.00
27/12/2013,7050.00
17/01/2014,7075.00
22/01/2014,7075.00
24/01/2014,7075.00
31/01/2014,7075.00
07/02/2014,7050.00
14/02/2014,7050.00
21/02/2014,7150.00
28/02/2014,7150.00
07/03/2014,7150.00
14/03/2014,7150.00
21/03/2014,7150.00
28/03/2014,7150.00
04/04/2014,7150.00
11/04/2014,7150.00
18/04/2014,7150.00
21/04/2014,7150.00
25/04/2014,7150.00
05/05/2014,7150.00
09/05/2014,7150.00
16/05/2014,7150.00
23/05/2014,7150.00
30/05/2014,7150.00
06/06/2014,7150.00
13/06/2014,7150.00
20/06/2014,7150.00
27/06/2014,8875.00
04/07/2014,7325.00
11/07/2014,6475.00
22/07/2014,5925.00
29/07/2014,5750.00
06/08/2014,5675.00
11/08/2014,5675.00
15/08/2014,5800.00
22/08/2014,5925.00
29/08/2014,6025.00
05/09/2014,6075.00
12/09/2014,6225.00
19/09/2014,6375.00
26/09/2014,6425.00
03/10/2014,6475.00
10/10/2014,6525.00
17/10/2014,6650.00
24/10/2014,6800.00
31/10/2014,7025.00
07/11/2014,7475.00
14/11/2014,8150.00
21/11/2014,8375.00
28/11/2014,8850.00
05/12/2014,9325.00
12/12/2014,9700.00
19/12/2014,9900.00
26/12/2014,9650.00
16/01/2015,9350.00
23/01/2015,9200.00
30/01/2015,9350.00
06/02/2015,9400.00
13/02/2015,9450.00
20/02/2015,9475.00
27/02/2015,9375.00
06/03/2015,9075.00
13/03/2015,8925.00
20/03/2015,8675.00
27/03/2015,8575.00
03/04/2015,8375.00
10/04/2015,8250.00
17/04/2015,8250.00
24/04/2015,8175.00
01/05/2015,7850.00
08/05/2015,7825.00
15/05/2015,7875.00
22/05/2015,7850.00
29/05/2015,7850.00
05/06/2015,7950.00
15/06/2015,7925.00
19/06/2015,7925.00
26/06/2015,8025.00
07/07/2015,8075.00
10/07/2015,8025.00
17/07/2015,7825.00
24/07/2015,7750.00
31/07/2015,7625.00
10/08/2015,7625.00
14/08/2015,7825.00
21/08/2015,7925.00
28/08/2015,8300.00
04/09/2015,8350.00
11/09/2015,8475.00
18/09/2015,8675.00
25/09/2015,8550.00
02/10/2015,8675.00
09/10/2015,8775.00
16/10/2015,8900.00
23/10/2015,8925.00
30/10/2015,9075.00
06/11/2015,9250.00
13/11/2015,9375.00
20/11/2015,9600.00
27/11/2015,9625.00
04/12/2015,9625.00
11/12/2015,9625.00
18/12/2015,9675.00
25/12/2015,9750.00
19/01/2016,9950.00
22/01/2016,10000.00
29/01/2016,10125.00
05/02/2016,10125.00
12/02/2016,10350.00
19/02/2016,10350.00
26/02/2016,10350.00
04/03/2016,10300.00
11/03/2016,10250.00
18/03/2016,10150.00
25/03/2016,10050.00
01/04/2016,9900.00
08/04/2016,9875.00
15/04/2016,9875.00
22/04/2016,9950.00
29/04/2016,10025.00
06/05/2016,10125.00
13/05/2016,10125.00
20/05/2016,10125.00
27/05/2016,10250.00
03/06/2016,10300.00
10/06/2016,10400.00
17/06/2016,10600.00
24/06/2016,10575.00
27/06/2016,10575.00
01/07/2016,10100.00
08/07/2016,9250.00
15/07/2016,8550.00
22/07/2016,7925.00
29/07/2016,7625.00
05/08/2016,7625.00
12/08/2016,7625.00
19/08/2016,7550.00
26/08/2016,7650.00
02/09/2016,7625.00
09/09/2016,7675.00
16/09/2016,7800.00
23/09/2016,7800.00
30/09/2016,7825.00
07/10/2016,7825.00
14/10/2016,7800.00
21/10/2016,7850.00
28/10/2016,7850.00
03/11/2016,7850.00
11/11/2016,7925.00
18/11/2016,8100.00
25/11/2016,8100.00
02/12/2016,8200.00
09/12/2016,8175.00
16/12/2016,8075.00
23/12/2016,8050.00
13/01/2017,8025.00
20/01/2017,8025.00
27/01/2017,8000.00
03/02/2017,8000.00
10/02/2017,7975.00
17/02/2017,7950.00
24/02/2017,7875.00
03/03/2017,7875.00
10/03/2017,7850.00
14/03/2017,7850.00
17/03/2017,7850.00
24/03/2017,7825.00
31/03/2017,7825.00
07/04/2017,7750.00
14/04/2017,7750.00
21/04/2017,7700.00
28/04/2017,7675.00
05/05/2017,7625.00
12/05/2017,7675.00
19/05/2017,7650.00
26/05/2017,7625.00
29/05/2017,7625.00
02/06/2017,7525.00
09/06/2017,7550.00
16/06/2017,7550.00
23/06/2017,7600.00
30/06/2017,7525.00
07/07/2017,7525.00
14/07/2017,7525.00
21/07/2017,7475.00
28/07/2017,7250.00
04/08/2017,7025.00
11/08/2017,6900.00
18/08/2017,6525.00
25/08/2017,6325.00
01/09/2017,6100.00
08/09/2017,5925.00
15/09/2017,5675.00
22/09/2017,5700.00
29/09/2017,5725.00
06/10/2017,5775.00
13/10/2017,5850.00
20/10/2017,5825.00
27/10/2017,5825.00
03/11/2017,5875.00
10/11/2017,5900.00
17/11/2017,5950.00
24/11/2017,6100.00
01/12/2017,6125.00
08/12/2017,6125.00
15/12/2017,6175.00
22/12/2017,6175.00
29/12/2017,6150.00
12/01/2018,6100.00
19/01/2018,6125.00
26/01/2018,6275.00
02/02/2018,6300.00
05/02/2018,6300.00
09/02/2018,6450.00
19/02/2018,6500.00
23/02/2018,6575.00
02/03/2018,6675.00
09/03/2018,6750.00
16/03/2018,6750.00
23/03/2018,6875.00
06/04/2018,7100.00
13/04/2018,7325.00
27/04/2018,7450.00
04/05/2018,7500.00
11/05/2018,7550.00
18/05/2018,7650.00
25/05/2018,7900.00
01/06/2018,8125.00
08/06/2018,8125.00
15/06/2018,8125.00
22/06/2018,7900.00
29/06/2018,7875.00
06/07/2018,7850.00
10/07/2018,7850.00
13/07/2018,7850.00
23/07/2018,7875.00
27/07/2018,8075.00
03/08/2018,8325.00
10/08/2018,8725.00
17/08/2018,8725.00
24/08/2018,8775.00
03/09/2018,8800.00
07/09/2018,9000.00
14/09/2018,9050.00
21/09/2018,9050.00
28/09/2018,8950.00
05/10/2018,8950.00
12/10/2018,9275.00
15/10/2018,9275.00
19/10/2018,9300.00
26/10/2018,9300.00
02/11/2018,9225.00
09/11/2018,9175.00
16/11/2018,9200.00
23/11/2018,9275.00
30/11/2018,9425.00
07/12/2018,9650.00
14/12/2018,9850.00
21/12/2018,10000.00
28/12/2018,10175.00
11/01/2019,10100.00
18/01/2019,10225.00
25/01/2019,10475.00
01/02/2019,10775.00
08/02/2019,10775.00
15/02/2019,10650.00
22/02/2019,10575.00
04/03/2019,10475.00
07/03/2019,10425.00
18/03/2019,10425.00
22/03/2019,10475.00
01/04/2019,10500.00
05/04/2019,10550.00
12/04/2019,10650.00
19/04/2019,10700.00
26/04/2019,10725.00
03/05/2019,10725.00
08/05/2019,10725.00
17/05/2019,10550.00
24/05/2019,11900.00
31/05/2019,11875.00
07/06/2019,11825.00
14/06/2019,11800.00
21/06/2019,11150.00
28/06/2019,11075.00
05/07/2019,10825.00
08/07/2019,10825.00
